var_name,var_name_raw,strata_id,strata_1_name,strata_1_raw,strata_1_value,strata_2_name,strata_2_raw,strata_2_value
LEALE,LEALE,Sex_Female_Age_0,Sex,0,Female,Age,0,0
LEALE,LEALE,Sex_Female_Age_1,Sex,0,Female,Age,1,1
LEALE,LEALE,Sex_Female_Age_5,Sex,0,Female,Age,5,5
LEALE,LEALE,Sex_Female_Age_10,Sex,0,Female,Age,10,10
LEALE,LEALE,Sex_Female_Age_15,Sex,0,Female,Age,15,15
LEALE,LEALE,Sex_Female_Age_20,Sex,0,Female,Age,20,20
LEALE,LEALE,Sex_Female_Age_25,Sex,0,Female,Age,25,25
LEALE,LEALE,Sex_Female_Age_30,Sex,0,Female,Age,30,30
LEALE,LEALE,Sex_Female_Age_35,Sex,0,Female,Age,35,35
LEALE,LEALE,Sex_Female_Age_40,Sex,0,Female,Age,40,40
LEALE,LEALE,Sex_Female_Age_45,Sex,0,Female,Age,45,45
LEALE,LEALE,Sex_Female_Age_50,Sex,0,Female,Age,50,50
LEALE,LEALE,Sex_Female_Age_55,Sex,0,Female,Age,55,55
LEALE,LEALE,Sex_Female_Age_60,Sex,0,Female,Age,60,60
LEALE,LEALE,Sex_Female_Age_65,Sex,0,Female,Age,65,65
LEALE,LEALE,Sex_Female_Age_70,Sex,0,Female,Age,70,70
LEALE,LEALE,Sex_Female_Age_75,Sex,0,Female,Age,75,75
LEALE,LEALE,Sex_Female_Age_80,Sex,0,Female,Age,80,80
LEALE,LEALE,Sex_Female_Age_85,Sex,0,Female,Age,85,85
LEALE,LEALE,Sex_Male_Age_0,Sex,1,Male,Age,0,0
LEALE,LEALE,Sex_Male_Age_1,Sex,1,Male,Age,1,1
LEALE,LEALE,Sex_Male_Age_5,Sex,1,Male,Age,5,5
LEALE,LEALE,Sex_Male_Age_10,Sex,1,Male,Age,10,10
LEALE,LEALE,Sex_Male_Age_15,Sex,1,Male,Age,15,15
LEALE,LEALE,Sex_Male_Age_20,Sex,1,Male,Age,20,20
LEALE,LEALE,Sex_Male_Age_25,Sex,1,Male,Age,25,25
LEALE,LEALE,Sex_Male_Age_30,Sex,1,Male,Age,30,30
LEALE,LEALE,Sex_Male_Age_35,Sex,1,Male,Age,35,35
LEALE,LEALE,Sex_Male_Age_40,Sex,1,Male,Age,40,40
LEALE,LEALE,Sex_Male_Age_45,Sex,1,Male,Age,45,45
LEALE,LEALE,Sex_Male_Age_50,Sex,1,Male,Age,50,50
LEALE,LEALE,Sex_Male_Age_55,Sex,1,Male,Age,55,55
LEALE,LEALE,Sex_Male_Age_60,Sex,1,Male,Age,60,60
LEALE,LEALE,Sex_Male_Age_65,Sex,1,Male,Age,65,65
LEALE,LEALE,Sex_Male_Age_70,Sex,1,Male,Age,70,70
LEALE,LEALE,Sex_Male_Age_75,Sex,1,Male,Age,75,75
LEALE,LEALE,Sex_Male_Age_80,Sex,1,Male,Age,80,80
LEALE,LEALE,Sex_Male_Age_85,Sex,1,Male,Age,85,85
