var_name,var_name_raw,dataset_id,var_name_san
CNSLABPART,CNSLABPARTL1AD,SEC_Census_L1AD,CNSLABPART
CNSLABPART,CNSLABPART_M_L1AD,SEC_Census_L1AD,CNSLABPARTM
CNSLABPART,CNSLABPART_F_L1AD,SEC_Census_L1AD,CNSLABPARTF
CNSMINHS,CNSMINHS_L1AD,SEC_Census_L1AD,CNSMINHS
CNSMINHS,CNSMINHSM_L1AD,SEC_Census_L1AD,CNSMINHSM
CNSMINHS,CNSMINHSF_L1AD,SEC_Census_L1AD,CNSMINHSF
CNSMINPR,CNSMINPR_L1AD,SEC_Census_L1AD,CNSMINPR
CNSMINPR,CNSMINPRM_L1AD,SEC_Census_L1AD,CNSMINPRM
CNSMINPR,CNSMINPRF_L1AD,SEC_Census_L1AD,CNSMINPRF
CNSMINUN,CNSMINUN_L1AD,SEC_Census_L1AD,CNSMINUN
CNSMINUN,CNSMINUNM_L1AD,SEC_Census_L1AD,CNSMINUNM
CNSMINUN,CNSMINUNF_L1AD,SEC_Census_L1AD,CNSMINUNF
CNSST,CNSST1517L1AD,SEC_Census_L1AD,CNSST
CNSST,CNSST1517ML1AD,SEC_Census_L1AD,CNSSTM
CNSST,CNSST1517FL1AD,SEC_Census_L1AD,CNSSTF
CNSUNEMP,CNSUNEMPL1AD,SEC_Census_L1AD,CNSUNEMP
CNSUNEMP,CNSUNEMPL_M_L1AD,SEC_Census_L1AD,CNSUNEMPLM
CNSUNEMP,CNSUNEMPL_F_L1AD,SEC_Census_L1AD,CNSUNEMPLF
CNSCROWD25BR,CNSCROWD25BRL1AD,SEC_Census_L1AD,CNSCROWD25BR
CNSCROWD3RM,CNSCROWD3RML1AD,SEC_Census_L1AD,CNSCROWD3RM
CNSEMPRAT,CNSEMPRATL1AD,SEC_Census_L1AD,CNSEMPRAT
CNSFLOOR,CNSFLOORL1AD,SEC_Census_L1AD,CNSFLOOR
CNSHSEDRAT,CNSHSEDRATL1AD,SEC_Census_L1AD,CNSHSEDRAT
CNSLABFEM,CNSLABFEML1AD,SEC_Census_L1AD,CNSLABFEM
CNSLABRAT,CNSLABRATL1AD,SEC_Census_L1AD,CNSLABRAT
CNSSEWANY,CNSSEWANYL1AD,SEC_Census_L1AD,CNSSEWANY
CNSSEWNET,CNSSEWNETL1AD,SEC_Census_L1AD,CNSSEWNET
CNSSTRAT,CNSST1517RATL1AD,SEC_Census_L1AD,CNSSTRAT
CNSWALLDUR1,CNSWALLDUR1L1AD,SEC_Census_L1AD,CNSWALLDUR1
CNSWALLDUR2,CNSWALLDUR2L1AD,SEC_Census_L1AD,CNSWALLDUR2
CNSWALLDUR3,CNSWALLDUR3L1AD,SEC_Census_L1AD,CNSWALLDUR3
CNSWATIN,CNSWATINL1AD,SEC_Census_L1AD,CNSWATIN
CNSWATNET,CNSWATNETL1AD,SEC_Census_L1AD,CNSWATNET
CNSWATPIPE,CNSWATPIPEL1AD,SEC_Census_L1AD,CNSWATPIPE
